,date,sex,age,confirmed,deceased
541,2020-04-01,male,10,207,0
542,2020-04-01,male,20,1070,0
543,2020-04-01,male,30,409,0
544,2020-04-01,male,40,528,0
545,2020-04-01,male,50,744,5
546,2020-04-01,male,60,496,11
547,2020-04-01,male,70,262,23
548,2020-04-01,male,80,180,42
549,2020-04-01,female,0,69,0
550,2020-04-01,female,10,311,0
551,2020-04-01,female,20,1611,0
552,2020-04-01,female,30,617,0
553,2020-04-01,female,40,794,0
554,2020-04-01,female,50,1120,4
555,2020-04-01,female,60,748,11
556,2020-04-01,female,70,395,22
557,2020-04-01,female,80,271,41
558,2020-04-02,male,0,47,0
559,2020-04-02,male,10,208,0
560,2020-04-02,male,20,1078,0
561,2020-04-02,male,30,416,0
562,2020-04-02,male,40,532,1
563,2020-04-02,male,50,749,5
564,2020-04-02,male,60,501,11
565,2020-04-02,male,70,264,24
566,2020-04-02,male,80,180,43
567,2020-04-02,female,0,71,0
568,2020-04-02,female,10,313,0
569,2020-04-02,female,20,1625,0
570,2020-04-02,female,30,626,0
571,2020-04-02,female,40,803,0
572,2020-04-02,female,50,1128,5
573,2020-04-02,female,60,756,11
574,2020-04-02,female,70,398,22
575,2020-04-02,female,80,272,41
576,2020-04-03,male,0,48,0
577,2020-04-03,male,10,210,0
578,2020-04-03,male,20,1090,0
579,2020-04-03,male,30,419,0
580,2020-04-03,male,40,538,1
581,2020-04-03,male,50,752,6
582,2020-04-03,male,60,504,12
583,2020-04-03,male,70,266,25
584,2020-04-03,male,80,181,45
585,2020-04-03,female,0,72,0
586,2020-04-03,female,10,317,0
587,2020-04-03,female,20,1643,0
588,2020-04-03,female,30,632,0
589,2020-04-03,female,40,811,0
590,2020-04-03,female,50,1134,5
591,2020-04-03,female,60,761,11
592,2020-04-03,female,70,401,23
593,2020-04-03,female,80,274,40
594,2020-04-04,male,0,48,0
595,2020-04-04,male,10,211,0
596,2020-04-04,male,20,1101,0
597,2020-04-04,male,30,425,0
598,2020-04-04,male,40,541,1
599,2020-04-04,male,50,757,6
600,2020-04-04,male,60,511,13
601,2020-04-04,male,70,270,26
602,2020-04-04,male,80,183,46
603,2020-04-04,female,0,73,0
604,2020-04-04,female,10,318,0
605,2020-04-04,female,20,1659,0
606,2020-04-04,female,30,640,0
607,2020-04-04,female,40,816,0
608,2020-04-04,female,50,1140,5
609,2020-04-04,female,60,770,11
610,2020-04-04,female,70,407,23
611,2020-04-04,female,80,277,40
612,2020-04-05,male,0,49,0
613,2020-04-05,male,10,214,0
614,2020-04-05,male,20,1116,0
615,2020-04-05,male,30,433,0
616,2020-04-05,male,40,548,1
617,2020-04-05,male,50,762,6
618,2020-04-05,male,60,516,13
619,2020-04-05,male,70,272,27
620,2020-04-05,male,80,184,48
621,2020-04-05,female,0,74,0
622,2020-04-05,female,10,320,0
623,2020-04-05,female,20,1672,0
624,2020-04-05,female,30,649,0
625,2020-04-05,female,40,821,0
626,2020-04-05,female,50,1141,6
627,2020-04-05,female,60,772,11
628,2020-04-05,female,70,408,23
629,2020-04-05,female,80,277,42
630,2020-04-06,male,0,50,0
631,2020-04-06,male,10,217,0
632,2020-04-06,male,20,1122,0
633,2020-04-06,male,30,434,0
634,2020-04-06,male,40,550,1
635,2020-04-06,male,50,763,6
636,2020-04-06,male,60,518,13
637,2020-04-06,male,70,274,27
638,2020-04-06,male,80,186,48
639,2020-04-06,female,0,75,0
640,2020-04-06,female,10,324,0
641,2020-04-06,female,20,1681,0
642,2020-04-06,female,30,651,0
643,2020-04-06,female,40,824,0
644,2020-04-06,female,50,1142,6
645,2020-04-06,female,60,775,12
646,2020-04-06,female,70,411,24
647,2020-04-06,female,80,278,43
648,2020-04-07,male,0,50,0
649,2020-04-07,male,10,217,0
650,2020-04-07,male,20,1129,0
651,2020-04-07,male,30,437,0
652,2020-04-07,male,40,553,1
653,2020-04-07,male,50,764,6
654,2020-04-07,male,60,522,13
655,2020-04-07,male,70,275,29
656,2020-04-07,male,80,186,48
657,2020-04-07,female,0,75,0
658,2020-04-07,female,10,326,0
659,2020-04-07,female,20,1689,0
660,2020-04-07,female,30,654,0
661,2020-04-07,female,40,828,0
662,2020-04-07,female,50,1144,6
663,2020-04-07,female,60,781,12
664,2020-04-07,female,70,413,27
665,2020-04-07,female,80,279,44
666,2020-04-08,male,0,50,0
667,2020-04-08,male,10,219,0
668,2020-04-08,male,20,1135,0
669,2020-04-08,male,30,441,0
670,2020-04-08,male,40,556,1
671,2020-04-08,male,50,767,6
672,2020-04-08,male,60,525,14
673,2020-04-08,male,70,277,31
674,2020-04-08,male,80,188,50
675,2020-04-08,female,0,75,0
676,2020-04-08,female,10,328,0
677,2020-04-08,female,20,1696,0
678,2020-04-08,female,30,660,0
679,2020-04-08,female,40,830,1
680,2020-04-08,female,50,1147,6
681,2020-04-08,female,60,786,12
682,2020-04-08,female,70,414,28
683,2020-04-08,female,80,281,45
684,2020-04-09,male,0,51,0
685,2020-04-09,male,10,221,0
686,2020-04-09,male,20,1141,0
687,2020-04-09,male,30,445,0
688,2020-04-09,male,40,559,1
689,2020-04-09,male,50,769,6
690,2020-04-09,male,60,527,14
691,2020-04-09,male,70,277,31
692,2020-04-09,male,80,189,52
693,2020-04-09,female,0,76,0
694,2020-04-09,female,10,330,0
695,2020-04-09,female,20,1702,0
696,2020-04-09,female,30,663,0
697,2020-04-09,female,40,834,1
698,2020-04-09,female,50,1147,6
699,2020-04-09,female,60,786,12
700,2020-04-09,female,70,414,28
701,2020-04-09,female,80,283,47
702,2020-04-10,male,0,51,0
703,2020-04-10,male,10,222,0
704,2020-04-10,male,20,1145,0
705,2020-04-10,male,30,447,0
706,2020-04-10,male,40,561,1
707,2020-04-10,male,50,771,6
708,2020-04-10,male,60,530,14
709,2020-04-10,male,70,278,32
710,2020-04-10,male,80,190,52
711,2020-04-10,female,0,77,0
712,2020-04-10,female,10,330,0
713,2020-04-10,female,20,1705,0
714,2020-04-10,female,30,665,0
715,2020-04-10,female,40,834,1
716,2020-04-10,female,50,1148,6
717,2020-04-10,female,60,789,13
718,2020-04-10,female,70,415,29
719,2020-04-10,female,80,283,48
720,2020-04-11,male,0,52,0
721,2020-04-11,male,10,224,0
722,2020-04-11,male,20,1148,0
723,2020-04-11,male,30,448,0
724,2020-04-11,male,40,562,1
725,2020-04-11,male,50,774,7
726,2020-04-11,male,60,533,15
727,2020-04-11,male,70,279,33
728,2020-04-11,male,80,191,53
729,2020-04-11,female,0,77,0
730,2020-04-11,female,10,333,0
731,2020-04-11,female,20,1707,0
732,2020-04-11,female,30,666,0
733,2020-04-11,female,40,836,1
734,2020-04-11,female,50,1151,6
735,2020-04-11,female,60,793,13
736,2020-04-11,female,70,414,29
737,2020-04-11,female,80,283,47
738,2020-04-12,male,0,52,0
739,2020-04-12,male,10,225,0
740,2020-04-12,male,20,1154,0
741,2020-04-12,male,30,450,0
742,2020-04-12,male,40,563,1
743,2020-04-12,male,50,776,7
744,2020-04-12,male,60,535,16
745,2020-04-12,male,70,280,33
746,2020-04-12,male,80,191,53
747,2020-04-12,female,0,77,0
748,2020-04-12,female,10,335,0
749,2020-04-12,female,20,1714,0
750,2020-04-12,female,30,669,0
751,2020-04-12,female,40,836,1
752,2020-04-12,female,50,1153,6
753,2020-04-12,female,60,794,14
754,2020-04-12,female,70,416,29
755,2020-04-12,female,80,283,48
756,2020-04-13,male,0,53,0
757,2020-04-13,male,10,226,0
758,2020-04-13,male,20,1159,0
759,2020-04-13,male,30,451,0
760,2020-04-13,male,40,564,1
761,2020-04-13,male,50,777,7
762,2020-04-13,male,60,537,16
763,2020-04-13,male,70,281,33
764,2020-04-13,male,80,191,54
765,2020-04-13,female,0,78,0
766,2020-04-13,female,10,335,0
767,2020-04-13,female,20,1719,0
768,2020-04-13,female,30,670,0
769,2020-04-13,female,40,836,1
770,2020-04-13,female,50,1154,6
771,2020-04-13,female,60,797,15
772,2020-04-13,female,70,416,30
773,2020-04-13,female,80,284,48
774,2020-04-14,male,0,53,0
775,2020-04-14,male,10,227,0
776,2020-04-14,male,20,1162,0
777,2020-04-14,male,30,453,0
778,2020-04-14,male,40,566,1
779,2020-04-14,male,50,779,7
780,2020-04-14,male,60,539,17
781,2020-04-14,male,70,282,33
782,2020-04-14,male,80,192,55
783,2020-04-14,female,0,78,0
784,2020-04-14,female,10,337,0
785,2020-04-14,female,20,1723,0
786,2020-04-14,female,30,672,0
787,2020-04-14,female,40,838,1
788,2020-04-14,female,50,1155,6
789,2020-04-14,female,60,798,15
790,2020-04-14,female,70,417,31
791,2020-04-14,female,80,284,50
792,2020-04-15,male,0,53,0
793,2020-04-15,male,10,229,0
794,2020-04-15,male,20,1166,0
795,2020-04-15,male,30,455,0
796,2020-04-15,male,40,567,1
797,2020-04-15,male,50,780,7
798,2020-04-15,male,60,539,17
799,2020-04-15,male,70,282,35
800,2020-04-15,male,80,192,55
801,2020-04-15,female,0,78,0
802,2020-04-15,female,10,339,0
803,2020-04-15,female,20,1728,0
804,2020-04-15,female,30,675,0
805,2020-04-15,female,40,840,1
806,2020-04-15,female,50,1156,6
807,2020-04-15,female,60,799,15
808,2020-04-15,female,70,419,32
809,2020-04-15,female,80,285,50
810,2020-04-16,male,0,54,0
811,2020-04-16,male,10,230,0
812,2020-04-16,male,20,1167,0
813,2020-04-16,male,30,455,0
