date,province,count,code,avg_temp,min_temp,max_temp,precipitation,max_wind_speed,most_wind_direction,avg_relative_humidity
2020-03-14,Gyeonggi-do,10,20000.0,3.9,-2.9,8.9,0.0,6.4,270.0,73.0
2020-03-14,Gyeongsangbuk-do,6,60000.0,6.1,1.6,11.6,0.0,8.4,290.0,37.6
2020-03-14,Incheon,2,14000.0,4.0,-1.3,7.8,0.0,7.5,230.0,58.6
2020-03-14,Sejong,1,,,,,,,,
2020-03-14,Seoul,8,10000.0,3.6,-2.7,8.6,0.0,6.8,250.0,48.1
2020-03-14,Ulsan,1,16000.0,7.0,2.9,11.0,0.0,5.2,290.0,25.8
2020-03-15,Busan,1,11000.0,7.7,2.9,12.7,0.0,11.2,250.0,39.6
2020-03-15,Gyeonggi-do,20,20000.0,4.5,1.0,9.4,0.0,9.7,290.0,68.3
2020-03-15,Gyeongsangbuk-do,9,60000.0,5.6,1.1,13.2,0.0,11.4,290.0,55.0
2020-03-15,Sejong,1,,,,,,,,
2020-03-15,Seoul,6,10000.0,4.0,0.2,8.5,0.0,7.8,320.0,48.3
2020-03-16,Gyeonggi-do,33,20000.0,3.3,-2.4,9.5,0.0,5.2,270.0,69.6
2020-03-16,Gyeongsangbuk-do,5,60000.0,5.3,0.4,10.6,0.0,6.7,200.0,55.6
2020-03-16,Gyeongsangnam-do,1,61000.0,5.3,0.9,11.3,0.0,4.8,50.0,39.8
2020-03-16,Incheon,1,14000.0,3.0,-1.9,7.0,0.0,8.0,250.0,54.1
2020-03-16,Jeollabuk-do,1,50000.0,4.5,-0.8,11.3,0.0,4.6,270.0,50.9
2020-03-16,Seoul,13,10000.0,3.6,-2.1,9.1,0.0,5.2,250.0,42.4
2020-03-17,Busan,1,11000.0,11.1,6.0,15.9,0.0,11.4,250.0,48.1
2020-03-17,Chungcheongbuk-do,1,40000.0,4.4,-2.0,10.7,0.0,3.0,90.0,74.8
2020-03-17,Chungcheongnam-do,3,41000.0,6.8,1.8,13.1,0.0,5.7,200.0,82.1
2020-03-17,Gangwon-do,1,30000.0,8.2,4.8,11.6,0.1,7.3,230.0,57.3
2020-03-17,Gwangju,2,13000.0,9.2,1.6,18.1,0.0,7.9,250.0,63.4
2020-03-17,Gyeonggi-do,15,20000.0,5.9,1.5,12.8,0.0,5.2,140.0,83.9
2020-03-17,Gyeongsangbuk-do,10,60000.0,9.2,0.3,14.9,0.0,9.0,250.0,47.8
2020-03-17,Incheon,1,14000.0,6.6,4.1,10.2,0.0,6.3,180.0,76.0
2020-03-17,Jeollabuk-do,1,50000.0,8.3,0.7,15.7,0.0,7.2,140.0,65.6
2020-03-17,Jeollanam-do,1,51000.0,10.3,3.9,17.0,0.0,10.6,200.0,54.8
2020-03-17,Sejong,1,,,,,,,,
2020-03-17,Seoul,4,10000.0,6.6,3.1,12.3,0.0,5.2,230.0,65.8
